RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Survey name	County	Record comment	Abundance	Habitat description	Sampling method
23367345401525393	RichTCG1999-2009		10/06/1937	10/06/1937	D	10/06/1937	NHMSYS0021118677	Hieracium argenteum auct. Angl.	V7183	71500	83500	OSI	1000		Bealalaw Bridge, Glen Caragh	Andrews, Mr C.E.A.		False	False		Rich, T.C.G. (1999-2009) Collation of data on Irish Endemic Hawkweeds. Submitted to the National Biodiversity Data Centre		Bealalaw Bridge, Glencar. Curation: BIRM			
23367345401525427	RichTCG1999-2009		23/07/1956	23/07/1956	D	23/07/1956	NHMSYS0000840748	Hieracium basalticola	D3024	330500	424500	OSI	1000		Garron Point	Andrews, Mr C.E.A.		False	False		Rich, T.C.G. (1999-2009) Collation of data on Irish Endemic Hawkweeds. Submitted to the National Biodiversity Data Centre		Curation: BIRM			
23367345401526325	RichTCG1995-2008		01/01/2005	31/12/2005	DD	01/01/2005 - 31/12/2005	NHMSYS0000463794	Sorbus anglica	V9488	94200	88900	OSI	1000		O'Donohoe's Pigeon House (Crocodile Rock)	BSBI meeting		False	False		Rich, T.C.G. (1995-2008) Collation of data on Sorbus in Killarney, Co. Kerry. Submitted to the National Biodiversity Data Centre	Kerry				General records
23367345401526376	RichTCG1995-2008		01/01/2005	31/12/2005	DD	01/01/2005 - 31/12/2005	NHMSYS0000463815	Sorbus rupicola	V9587	95400	87900	OSI	1000		Crow Island	BSBI meeting		False	False		Rich, T.C.G. (1995-2008) Collation of data on Sorbus in Killarney, Co. Kerry. Submitted to the National Biodiversity Data Centre	Kerry				General records
23367345401511787	OConnellCCBreathnach2008		01/01/2008	31/12/2008	Y	2008	NBNSYS0000003191	Acer pseudoplatanus	S531015	253150	101550	OSI	100		Fenor Bog	C. O'Connell & C. Breathnach		False	False		O'Connell, C. & C. Breathnach (2008) Fenor Bog NNR Conservation Action Plan 2009. Irish Peatland Conservation Council & Moin Fhionnurach Development Association, Fenor, Co. Waterford.	Waterford				Site survey
23367345401511789	OConnellCCBreathnach2008		01/01/2008	31/12/2008	Y	2008	NBNSYS0000002640	Agrostis stolonifera	S531015	253150	101550	OSI	100		Fenor Bog	C. O'Connell & C. Breathnach		False	False		O'Connell, C. & C. Breathnach (2008) Fenor Bog NNR Conservation Action Plan 2009. Irish Peatland Conservation Council & Moin Fhionnurach Development Association, Fenor, Co. Waterford.	Waterford				Site survey
23367345401511804	OConnellCCBreathnach2008		01/01/2008	31/12/2008	Y	2008	NHMSYS0000456844	Carex disticha	S531015	253150	101550	OSI	100		Fenor Bog	C. O'Connell & C. Breathnach		False	False		O'Connell, C. & C. Breathnach (2008) Fenor Bog NNR Conservation Action Plan 2009. Irish Peatland Conservation Council & Moin Fhionnurach Development Association, Fenor, Co. Waterford.	Waterford				Site survey
23367345401511806	OConnellCCBreathnach2008		01/01/2008	31/12/2008	Y	2008	NBNSYS0000002464	Carex paniculata	S531015	253150	101550	OSI	100		Fenor Bog	C. O'Connell & C. Breathnach		False	False		O'Connell, C. & C. Breathnach (2008) Fenor Bog NNR Conservation Action Plan 2009. Irish Peatland Conservation Council & Moin Fhionnurach Development Association, Fenor, Co. Waterford.	Waterford				Site survey
23367345401511821	OConnellCCBreathnach2008		01/01/2008	31/12/2008	Y	2008	NHMSYS0000458187	Dryopteris dilatata	S531015	253150	101550	OSI	100		Fenor Bog	C. O'Connell & C. Breathnach		False	False		O'Connell, C. & C. Breathnach (2008) Fenor Bog NNR Conservation Action Plan 2009. Irish Peatland Conservation Council & Moin Fhionnurach Development Association, Fenor, Co. Waterford.	Waterford				Site survey
23367345401511823	OConnellCCBreathnach2008		01/01/2008	31/12/2008	Y	2008	NBNSYS0000003536	Epilobium hirsutum	S531015	253150	101550	OSI	100		Fenor Bog	C. O'Connell & C. Breathnach		False	False		O'Connell, C. & C. Breathnach (2008) Fenor Bog NNR Conservation Action Plan 2009. Irish Peatland Conservation Council & Moin Fhionnurach Development Association, Fenor, Co. Waterford.	Waterford				Site survey
