RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Type of sighting	County	Vice-county	Habitat description	Abundance	Record comment	Life stage	Survey name
100708897597165781			26/03/2022	26/03/2022	D	26/03/2022	NBNSYS0000042516	Lepus timidus subsp. hibernicus	Q996380	99650	138050	OSI	100		Drombeg Listowel	Paddy Halpin		False	False			Kerry			1			
100708897597165976			21/09/2022	21/09/2022	D	21/09/2022	NBNSYS0000042516	Lepus timidus subsp. hibernicus	Q986333	98650	133350	OSI	100		Listowel Race Course	Paddy Halpin		False	False			Kerry			1			
100708897597166015			06/01/2023	06/01/2023	D	06/01/2023	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R018372	101850	137250	OSI	100		Meen Listowel.	Paddy Halpin		False	False			Kerry			1			
964ab702-39b1-11e7-9a25-00155d018200			26/05/2015	26/05/2015	D	26/05/2015	NBNSYS0000005133	Lutra lutra	W659625	165950	62550	OSI	100		Five-Mile-Bridge	Patrick Smiddy		False	False		Spraint collected	Cork						
38727bbb-37f2-11e7-9be5-00155d018200			11/05/2017	11/05/2017	D	11/05/2017	NBNSYS0000005133	Lutra lutra	W554790	155450	79050	OSI	100		Fox's Bridge	Patrick Smiddy		False	False		Spraint collected	Cork						
59ae0d98-3172-11e7-8717-00155d018201			07/04/2017	07/04/2017	D	07/04/2017	NHMSYS0020774297	Neovison vison	W551564	155150	56450	OSI	100		Frankfort, near Inishannon	Patrick Smiddy		False	False		Scat collected	Cork						
597982f4-3172-11e7-8717-00155d018201			31/08/2015	31/08/2015	D	31/08/2015	NBNSYS0000005133	Lutra lutra	R905012	190550	101250	OSI	100		Glenfinish Stream, near Ballyduff	Patrick Smiddy		False	False		Spraint collected	Waterford	Waterford					
cc28bcaf-39b2-11e7-9a25-00155d018200			17/06/2016	17/06/2016	D	17/06/2016	NBNSYS0000005133	Lutra lutra	W769761	176950	76150	OSI	100		Glenmore River	Patrick Smiddy		False	False		Spraint collected	Cork						
7cf86596-39b4-11e7-9a25-00155d018200			15/05/2016	15/05/2016	D	15/05/2016	NBNSYS0000005133	Lutra lutra	W671838	167150	83850	OSI	100		Gormlee	Patrick Smiddy		False	False		Spraint collected	Cork						
59792d25-3172-11e7-8717-00155d018201			10/09/2015	10/09/2015	D	10/09/2015	NBNSYS0000005133	Lutra lutra	R763166	176350	116650	OSI	100		Gortnaminna, near Mitchelstown	Patrick Smiddy		False	False		Spraint collected	Cork						
597a7eee-3172-11e7-8717-00155d018201			21/06/2015	21/06/2015	D	21/06/2015	NBNSYS0000005133	Lutra lutra	W719887	171950	88750	OSI	100		Keam Bridge, near Glenville	Patrick Smiddy		False	False		Spraint collected	Cork						
59789fb4-3172-11e7-8717-00155d018201			17/08/2015	17/08/2015	D	17/08/2015	NBNSYS0000005133	Lutra lutra	R442029	144250	102950	OSI	100		Ketragh Bridge, near Kanturk	Patrick Smiddy		False	False		Spraint collected	Cork						
9feb08f5-37f4-11e7-9be5-00155d018200			12/05/2017	12/05/2017	D	12/05/2017	NBNSYS0000005133	Lutra lutra	W682759	168250	75950	OSI	100		Kilcully	Patrick Smiddy		False	False		Spraint collected	Cork						
597c8dee-3172-11e7-8717-00155d018201			02/09/2013	02/09/2013	D	02/09/2013	NHMSYS0020774297	Neovison vison	R986175	198650	117550	OSI	100		Kilganny Bridge, near Burncourt	Patrick Smiddy		False	False		Scat collected	Tipperary						
597a39bd-3172-11e7-8717-00155d018201			27/09/2015	27/09/2015	D	27/09/2015	NBNSYS0000005133	Lutra lutra	W384988	138450	98850	OSI	100		Leader's Bridge, near Banteer	Patrick Smiddy		False	False		Spraint collected	Cork						
ddb1b55d-39b8-11e7-9a25-00155d018200			25/05/2015	25/05/2015	D	25/05/2015	NBNSYS0000005133	Lutra lutra	W856805	185650	80550	OSI	100		Leadington (upper bridge)	Patrick Smiddy		False	False		Spraint collected	Cork						
8cc43832-39b8-11e7-9a25-00155d018200			24/04/2017	24/04/2017	D	24/04/2017	NBNSYS0000005133	Lutra lutra	W852801	185250	80150	OSI	100		Lisgoold	Patrick Smiddy		False	False		Spraint collected	Cork						
59ad6c1b-3172-11e7-8717-00155d018201			27/03/2017	27/03/2017	D	27/03/2017	NBNSYS0000005133	Lutra lutra	W279606	127950	60650	OSI	100		Lisheenleigh, near Shanlaragh	Patrick Smiddy		False	False		Spraint collected	Cork						
597afef1-3172-11e7-8717-00155d018201			12/06/2015	12/06/2015	D	12/06/2015	NBNSYS0000005133	Lutra lutra	X103991	210350	99150	OSI	100		Little Bridge, near Cappoquin	Patrick Smiddy		False	False		Spraint collected	Waterford	Waterford					
d5bc65b0-3a26-11e7-9a25-00155d018200			29/09/2015	29/09/2015	D	29/09/2015	NHMSYS0020774297	Neovison vison	R649004	164950	100450	OSI	100		Monanimy Cross	Patrick Smiddy		False	False		Scat collected	Cork						
70492c31-37ef-11e7-9be5-00155d018200			09/05/2017	09/05/2017	D	09/05/2017	NBNSYS0000005133	Lutra lutra	W356755	135650	75550	OSI	100		Morris's Bridge	Patrick Smiddy		False	False		Spraint collected	Cork						
fc90f900-3a25-11e7-9a25-00155d018200			09/09/2015	09/09/2015	D	09/09/2015	NHMSYS0020774297	Neovison vison	R504026	150450	102650	OSI	100		Mountnorth	Patrick Smiddy		False	False		Scat collected	Cork						
e66753af-3a2b-11e7-9a25-00155d018200			06/09/2015	06/09/2015	D	06/09/2015	NHMSYS0020774297	Neovison vison	W412898	141250	89850	OSI	100		Nadbeg Bridge	Patrick Smiddy		False	False		Scat collected	Cork						
59adefb1-3172-11e7-8717-00155d018201			07/04/2017	07/04/2017	D	07/04/2017	NBNSYS0000005133	Lutra lutra	W584498	158450	49850	OSI	100		Near Ballinadee	Patrick Smiddy		False	False		Spraint collected	Cork						
71e64ac8-37f4-11e7-9be5-00155d018200			12/05/2017	12/05/2017	D	12/05/2017	NBNSYS0000005133	Lutra lutra	W614850	161450	85050	OSI	100		Poulagloger Bridge	Patrick Smiddy		False	False		Spraint collected	Cork						
24870567161108268			14/09/2016	14/09/2016	D	14/09/2016	NHMSYS0000080212	Rattus norvegicus	W830685	183050	68550	OSI	100		Ballymore	Paddy Sleeman		False	False		Found dead (Not road kill)	Cork	East Cork		1			
24415417615255175			09/01/2016	09/01/2016	D	09/01/2016	NHMSYS0000080212	Rattus norvegicus	W678720	167850	72050	OSI	100		Cork City	Paddy Sleeman		False	False		Found dead (Not road kill)	Cork			1			
24415417615255177			03/02/2016	03/02/2016	D	03/02/2016	NHMSYS0000080188	Vulpes vulpes	W607613	160750	61350	OSI	100		Halfway	Paddy Sleeman		False	False		Road Kill	Cork			2	Two animals dead in close proximity		
576d72f9-37f2-11e7-9be5-00155d018200			11/05/2017	11/05/2017	D	11/05/2017	NBNSYS0000005133	Lutra lutra	W578852	157850	85250	OSI	100		Pound Bridge	Patrick Smiddy		False	False		Spraint collected	Cork						
597a9a52-3172-11e7-8717-00155d018201			21/06/2015	21/06/2015	D	21/06/2015	NBNSYS0000005133	Lutra lutra	W808906	180850	90650	OSI	100		Rathcormack Bridge	Patrick Smiddy		False	False		Spraint collected	Cork						
f1b75858-39b2-11e7-9a25-00155d018200			17/06/2016	17/06/2016	D	17/06/2016	NBNSYS0000005133	Lutra lutra	W787767	178750	76750	OSI	100		Reanasallagh Cross	Patrick Smiddy		False	False		Spraint collected	Cork						
4550b14d-37ee-11e7-9be5-00155d018200			09/04/2017	09/04/2017	D	09/04/2017	NBNSYS0000005133	Lutra lutra	W260740	126050	74050	OSI	100		Sullane Bridge	Patrick Smiddy		False	False		Spraint collected	Cork						
597c7bfa-3172-11e7-8717-00155d018201			02/09/2013	02/09/2013	D	02/09/2013	NBNSYS0000005133	Lutra lutra	S113139	211350	113950	OSI	100		Tar Bridge, near Newcastle	Patrick Smiddy		False	False		Spraint collected	Tipperary						
59784c48-3172-11e7-8717-00155d018201			18/08/2015	18/08/2015	D	18/08/2015	NBNSYS0000005133	Lutra lutra	R132004	113250	100450	OSI	100		Tooreencahill, near Ballydesmond	Patrick Smiddy		False	False		Spraint collected	Kerry						
59ae139a-3172-11e7-8717-00155d018201			02/01/2017	02/01/2017	D	02/01/2017	NHMSYS0020774297	Neovison vison	W513621	151350	62150	OSI	100		Tuough Bridge, near Inishannon	Patrick Smiddy		False	False		Scat collected	Cork						
5978c653-3172-11e7-8717-00155d018201			09/09/2015	09/09/2015	D	09/09/2015	NBNSYS0000005133	Lutra lutra	R461137	146150	113750	OSI	100		Altamira, near Liscarroll	Patrick Smiddy		False	False		Spraint collected	Cork						
5978c94c-3172-11e7-8717-00155d018201			09/09/2015	09/09/2015	D	09/09/2015	NBNSYS0000005133	Lutra lutra	R498155	149850	115550	OSI	100		Annagh Bridge, near Churchtown	Patrick Smiddy		False	False		Spraint collected	Cork						
5978ea1d-3172-11e7-8717-00155d018201			10/09/2015	10/09/2015	D	10/09/2015	NBNSYS0000005133	Lutra lutra	R576208	157650	120850	OSI	100		Ardskeagh Bridge, near Ardpatrick	Patrick Smiddy		False	False		Spraint collected	Cork						
12b740e9-3a2e-11e7-9a25-00155d018200			27/05/2015	27/05/2015	D	27/05/2015	NHMSYS0020774297	Neovison vison	X157830	215750	83050	OSI	100		Aughnacurraveel	Patrick Smiddy		False	False		Scat collected	Waterford						
98363975745409246			12/05/2018	12/05/2018	D	12/05/2018	NBNSYS0000005133	Lutra lutra	S511558	251150	155850	OSI	100		Kilkenny Canal Walk	Patrick McQuinn		False	False		Sighting of live animal	Kilkenny			1			
c94a7aff-d8f4-11e7-93d7-00155d018200			11/10/2017	11/10/2017	D	11/10/2017	NBNSYS0000005133	Lutra lutra	S508558	250850	155850	OSI	100		Kilkenny	Patrick McQuinn		False	False		Sighting of live animal	Kilkenny			2			
100588520250278005			28/04/2023	28/04/2023	D	28/04/2023	NHMSYS0000080219	Oryctolagus cuniculus		-8.4794052900	51.8502479400	WGS84	100		Cork Airport Business Park	Paul M Walsh		False	False		Sighting of live animal	Cork			1			
100708897597164443			11/06/2022	11/06/2022	D	11/06/2022	NBNSYS0000042516	Lepus timidus subsp. hibernicus		-7.6736010900	52.0298948400	WGS84	100		Drum Hills: Near Reanagullee	Paul M Walsh		False	False			Waterford			1			
98363975745409516			25/06/2017	25/06/2017	D	25/06/2017	NHMSYS0000080172	Crocidura russula	X620986	262050	98650	OSI	100		Brownstown Head	Paul M Walsh		False	False		Found dead (Not road kill)	Waterford			1			
59790b02-3172-11e7-8717-00155d018201			13/07/2015	13/07/2015	D	13/07/2015	NBNSYS0000005133	Lutra lutra	R676115	167650	111550	OSI	100		Ballyguyroe Bridge, near Kildorrery	Patrick Smiddy		False	False		Spraint collected	Cork						
5978ac2b-3172-11e7-8717-00155d018201			17/08/2015	17/08/2015	D	17/08/2015	NBNSYS0000005133	Lutra lutra	R446056	144650	105650	OSI	100		Ballyhest Bridge, near Ballyclogh	Patrick Smiddy		False	False		Spraint collected	Cork						
fdaec9f9-f940-11e7-a3cb-00155d018200			14/01/2018	14/01/2018	D	14/01/2018	NBNSYS0000005133	Lutra lutra	R015388	101550	138850	OSI	100		Coolaclarig, Listowel	Paddy Halpin		False	False		Sighting of live animal	Kerry			1			
225348bc-df81-11e7-aa69-00155d018200			12/12/2017	12/12/2017	D	12/12/2017	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R183327	118350	132750	OSI	100		Clash South, Athea	Paddy Halpin		False	False		Sighting of live animal	Limerick			1			
100708897597165377			13/04/2021	13/04/2021	D	13/04/2021	NBNSYS0000042516	Lepus timidus subsp. hibernicus	Q966333	96650	133350	OSI	100		Scartleigh Listowel	Paddy Halpin		False	False			Kerry			1			
100708897597166095			06/04/2023	06/04/2023	D	06/04/2023	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R085155	108550	115550	OSI	100		Tooreenagown Brosna	Paddy Halpin		False	False			Kerry			1			
100708897597166162			01/06/2023	01/06/2023	D	01/06/2023	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R034381	103450	138150	OSI	100		Clounprohus Listowel	Paddy Halpin		False	False			Kerry			2			
100708897597166163			24/05/2023	24/05/2023	D	24/05/2023	NBNSYS0000042516	Lepus timidus subsp. hibernicus	Q990377	99050	137750	OSI	100		Drombeg Listowel	Paddy Halpin		False	False			Kerry			1			
100708897597166198			05/07/2023	05/07/2023	D	05/07/2023	NBNSYS0000042516	Lepus timidus subsp. hibernicus	Q950351	95050	135150	OSI	100		Inchmoor Bog Listowel	Paddy Halpin		False	False			Kerry			3			
100708897597165226			05/01/2021	05/01/2021	D	05/01/2021	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R012356	101250	135650	OSI	100		Ballahadigue Listowel	Paddy Halpin		False	False			Kerry			1			
100708897597165677			13/12/2021	13/12/2021	D	13/12/2021	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R033383	103350	138350	OSI	100		Cloonprohus Listowel	Paddy Halpin		False	False			Kerry			1			
100708897597165713			01/02/2022	01/02/2022	D	01/02/2022	NBNSYS0000042516	Lepus timidus subsp. hibernicus	Q951346	95150	134650	OSI	100		Inchmoor Bog  Listowel	Paddy Halpin		False	False			Kerry			1			
100708897597165744			06/03/2022	06/03/2022	D	06/03/2022	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R013362	101350	136250	OSI	100		Coolatoosane Listowel	Paddy Halpin		False	False			Kerry			1			
100708897597165912			21/06/2022	21/06/2022	D	21/06/2022	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R009398	100950	139850	OSI	100		Shroneowen   Bog Listowel	Paddy Halpin		False	False			Kerry			1			
e19ae6f9-3a24-11e7-9a25-00155d018200			02/09/2015	02/09/2015	D	02/09/2015	NHMSYS0020774297	Neovison vison	R365155	136550	115550	OSI	100		Raheen Bridge	Patrick Smiddy		False	False		Scat collected	Cork						
57cf74b3-39b2-11e7-9a25-00155d018200			17/06/2016	17/06/2016	D	17/06/2016	NBNSYS0000005133	Lutra lutra	W734751	173450	75150	OSI	100		Riverstown	Patrick Smiddy		False	False		Spraint collected	Cork						
59ad3424-3172-11e7-8717-00155d018201			21/01/2017	21/01/2017	D	21/01/2017	NBNSYS0000005133	Lutra lutra	W558535	155850	53550	OSI	100		Rockhouse Bridge, near Ballinadee	Patrick Smiddy		False	False		Spraint collected	Cork						
59acd961-3172-11e7-8717-00155d018201			31/12/2016	31/12/2016	D	31/12/2016	NBNSYS0000005133	Lutra lutra	W224514	122450	51450	OSI	100		Tonafora, near Dunmanway	Patrick Smiddy		False	False		Spraint collected	Cork						
597ae9c7-3172-11e7-8717-00155d018201			13/04/2015	13/04/2015	D	13/04/2015	NBNSYS0000005133	Lutra lutra	X185846	218550	84650	OSI	100		Toor, near Clashmore	Patrick Smiddy		False	False		Spraint collected	Waterford	Waterford					
24716265360744727			03/04/2016	03/04/2016	D	03/04/2016	NBNSYS0000005121	Mus musculus	W676725	167650	72550	OSI	100		Sheldon, Patrick's Hill, Cork 	Paddy Sleeman		False	False		Trapped	Cork	East Cork		2			
97209583948268211			27/01/2017	27/01/2017	D	27/01/2017	NBNSYS0000005133	Lutra lutra	X100842	210050	84250	OSI	100		Newport, River Blackwater	Patrick Smiddy		False	False		Sighting of live animal	Waterford	Waterford		1	A different Otter to one seen nearby.		
97209583948268212			22/01/2017	22/01/2017	D	22/01/2017	NHMSYS0000080191	Meles meles	W740647	174050	64750	OSI	100		Raffeen	Patrick Smiddy		False	False		Road Kill	Cork	Mid-Cork		1			
99679645628151486			02/06/2021	02/06/2021	D	02/06/2021	NHMSYS0000080190	Martes martes		-6.2906678500	53.0086239600	WGS84	100		Trooperstown	Pat Brien		False	False			Wicklow						
99679645628152121			08/07/2020	08/07/2020	D	08/07/2020	NHMSYS0000080190	Martes martes	G270042	127050	304250	OSI	100		Foxford	Patricia Timlin		False	False			Mayo			1			
99679645628152122			31/03/2020	31/03/2020	D	31/03/2020	NHMSYS0000080190	Martes martes	N438164	243850	216450	OSI	100		Ballymacrossan	Patrick Dowling		False	False		Sighting of live animal	Offaly			1			
