"StartDate","EndDate","Date","TaxonVersionKey","TaxonName","Projection","Precision","SiteName","Recorder","ZeroAbundance","UnderValidation","Sampling.method","County","Abundance_Simplified","Type","lon","lat"
2022-03-26,2022-03-26,2022-03-26,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"drombeg listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.4779054515639,52.4850568840874
2022-09-21,2022-09-21,2022-09-21,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"listowel race course","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.49119302664426,52.4426507392244
2023-01-06,2023-01-06,2023-01-06,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"meen listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.44529674850066,52.4782700379789
2015-05-26,2015-05-26,2015-05-26,"NBNSYS0000005133","Lutra lutra","OSI",100,"fivemilebridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.49446559461004,51.8147408720412
2017-05-11,2017-05-11,2017-05-11,"NBNSYS0000005133","Lutra lutra","OSI",100,"foxs bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.64884148530484,51.9622823135339
2017-04-07,2017-04-07,2017-04-07,"NHMSYS0020774297","Neovison vison","OSI",100,"frankfort near inishannon","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.65027257884849,51.7591593093693
2015-08-31,2015-08-31,2015-08-31,"NBNSYS0000005133","Lutra lutra","OSI",100,"glenfinish stream near ballyduff","Patrick Smiddy","False","False","Spraint collected","Waterford","Unknown","Mammal",-8.13882542644854,52.1634966702011
2016-06-17,2016-06-17,2016-06-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"glenmore river","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.33587268386101,51.9375270698658
2016-05-15,2016-05-15,2016-05-15,"NBNSYS0000005133","Lutra lutra","OSI",100,"gormlee","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.47909666690635,52.0062329878508
2015-09-10,2015-09-10,2015-09-10,"NBNSYS0000005133","Lutra lutra","OSI",100,"gortnaminna near mitchelstown","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.3474115265241,52.3014631219787
2015-06-21,2015-06-21,2015-06-21,"NBNSYS0000005133","Lutra lutra","OSI",100,"keam bridge near glenville","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.40960170188107,52.0505314610075
2015-08-17,2015-08-17,2015-08-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"ketragh bridge near kanturk","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.81566564835439,52.176038584969
2017-05-12,2017-05-12,2017-05-12,"NBNSYS0000005133","Lutra lutra","OSI",100,"kilcully","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.46234815965643,51.9353013008767
2013-09-02,2013-09-02,2013-09-02,"NHMSYS0020774297","Neovison vison","OSI",100,"kilganny bridge near burncourt","Patrick Smiddy","False","False","Scat collected","Tipperary","Unknown","Mammal",-8.0205223786699,52.3100590790573
2015-09-27,2015-09-27,2015-09-27,"NBNSYS0000005133","Lutra lutra","OSI",100,"leaders bridge near banteer","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.89969478200787,52.1385809626386
2015-05-25,2015-05-25,2015-05-25,"NBNSYS0000005133","Lutra lutra","OSI",100,"leadington upper bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.20956003335982,51.9773625800712
2017-04-24,2017-04-24,2017-04-24,"NBNSYS0000005133","Lutra lutra","OSI",100,"lisgoold","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.21536392628904,51.9737572906802
2017-03-27,2017-03-27,2017-03-27,"NBNSYS0000005133","Lutra lutra","OSI",100,"lisheenleigh near shanlaragh","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.04501501288623,51.7940625137467
2015-06-12,2015-06-12,2015-06-12,"NBNSYS0000005133","Lutra lutra","OSI",100,"little bridge near cappoquin","Patrick Smiddy","False","False","Spraint collected","Waterford","Unknown","Mammal",-7.84954223353946,52.1446091351724
2015-09-29,2015-09-29,2015-09-29,"NHMSYS0020774297","Neovison vison","OSI",100,"monanimy cross","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.51283781620795,52.1552753731753
2017-05-09,2017-05-09,2017-05-09,"NBNSYS0000005133","Lutra lutra","OSI",100,"morriss bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.93620261646357,51.9288932432774
2015-09-09,2015-09-09,2015-09-09,"NHMSYS0020774297","Neovison vison","OSI",100,"mountnorth","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.7250003584447,52.1739341958615
2015-09-06,2015-09-06,2015-09-06,"NHMSYS0020774297","Neovison vison","OSI",100,"nadbeg bridge","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.85725343705041,52.0580127135862
2017-04-07,2017-04-07,2017-04-07,"NBNSYS0000005133","Lutra lutra","OSI",100,"near ballinadee","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.60169519361859,51.7000998463336
2017-05-12,2017-05-12,2017-05-12,"NBNSYS0000005133","Lutra lutra","OSI",100,"poulagloger bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.56223253496514,52.0166503764659
2016-09-14,2016-09-14,2016-09-14,"NHMSYS0000080212","Rattus norvegicus","OSI",100,"ballymore","Paddy Sleeman","False","False","Found dead (Not road kill)","Cork","Low","Mammal",-8.24680588979606,51.8694443626588
2016-01-09,2016-01-09,2016-01-09,"NHMSYS0000080212","Rattus norvegicus","OSI",100,"cork city","Paddy Sleeman","False","False","Found dead (Not road kill)","Cork","Low","Mammal",-8.46779956464331,51.9002295421161
2016-02-03,2016-02-03,2016-02-03,"NHMSYS0000080188","Vulpes vulpes","OSI",100,"halfway","Paddy Sleeman","False","False","Road Kill","Cork","Low","Mammal",-8.56972827176904,51.8036156758647
